question,document
Any anime about a smart guy who leads a rebellion with mind-control powers?,1575
Looking for a dark mecha series with political drama and revenge?,1575
What’s a good anime where the main guy hides his identity and fights an empire?,1575
"Any recommendations for an anime with strategy, war, and lots of twists?",1575
"I want a finished sci-fi anime with action and a serious story, any picks?",1575
Any anime like this with a psychic guy dealing with weird cases and school life?,50172
Looking for a funny supernatural show with action and a shy overpowered main character?,50172
"Any recommendations for an anime about spirits, weird powers, and personal growth?",50172
What should I watch if I want a comedy-action anime with paranormal stuff and emotional moments?,50172
Anyone know a series like this where the main guy tries to act normal but keeps getting pulled into crazy supernatural problems?,50172
Any anime or webtoon about jumping into photos to solve mysteries?,44074
Anyone know a show where people use pictures to look into the past?,44074
"Looking for a drama thriller with time travel and small clues, any recs?",44074
What anime has a duo that helps clients by entering old photos?,44074
Any recommendations for a mystery series where changing one thing can mess up the future?,44074
Any anime like this with strong curse-fighting and lots of action?,51009
"Looking for a dark school anime with special powers and monsters, any recs?",51009
"What’s a good series with nonstop battles, big stakes, and magic users?",51009
Any recommendations for anime where the cast fights evil spirits and saves people?,51009
"Need a similar anime with intense fights, serious tone, and superhuman abilities.",51009
Any good romance anime with awkward school kids slowly getting closer?,55690
Looking for a cute slice of life show where the main pair’s bond keeps growing?,55690
Any anime about two teens dealing with crushes and not knowing what to do?,55690
"What’s a good romcom with school life, small drama, and lots of relationship progress?",55690
Any recommendations for an anime where the friendship turns into something more?,55690
Any recs for a short music anime with a catchy opening vibe?,55016
"Looking for an anime music video that feels like a pop song promo, any ideas?",55016
What’s a good one-episode music anime with strong visuals and teen-friendly rating?,55016
Any anime OPs or music shorts with a big emotional and flashy feel?,55016
Can someone name a music-themed anime short tied to a popular series opening?,55016
Any anime like this with big final battles and power-ups?,53998
Looking for a dark action series with sword fights and spirit powers?,53998
Any shows where the heroes train hard after getting wrecked by the enemy?,53998
What anime has a revenge war between humans and a powerful enemy group?,53998
"Any recommendation for an anime with captains, special abilities, and nonstop fights?",53998
Any sports anime movie with a high school team going up against top rivals?,45649
What anime is about basketball and a fast point guard leading his team?,45649
Anyone know a good movie about school basketball and a big championship match?,45649
Looking for an anime film with intense sports action and a team trying to beat the best?,45649
Any recommendations for a basketball anime movie with strong teamwork and rivalry?,45649
Any anime about demon hunters going after a monster in a red-light district?,47778
What’s a good action anime with sword fights and supernatural stuff?,47778
Any recommendations for an anime where the heroes go undercover in a city area to find a demon?,47778
"Looking for a short anime arc with a lot of fighting and dark vibes, any ideas?",47778
What should I watch if I want a battle anime with demons and a rescue mission?,47778
"Any anime like this about war, strategy, and rising through the army?",61517
"Looking for a historical action show with big battles and smart tactics, any recs?",61517
What’s a good series about unifying a country and fighting rival states?,61517
Any recommendations for anime with battlefield politics and strong commanders?,61517
"I want another war anime with a lead who wants to become the best general, any ideas?",61517
Any recs for an anime about two family members trying to live together after a loss?,58788
What’s a good drama anime with a grown woman raising a teen?,58788
Can anyone suggest a slice-of-life anime about coping with grief and family drama?,58788
"I want an anime where people have to figure out life and their feelings after a tragedy, any ideas?",58788
Any recommendation for a mature drama anime about an awkward guardian and a troubled girl?,58788
Any anime about heroes getting power from people’s trust or popularity?,53447
Anyone know an action series where normal people can become superheroes with enough support?,53447
"Looking for something with a ranking system for heroes, any recs?",53447
Any shows where public opinion changes who is the strongest hero?,53447
"What’s a good anime like this with superpowers, data, and hero battles?",53447
Any anime about old-school performing arts and a guy trying to find his own style?,33095
Looking for a drama anime about keeping a dying tradition alive?,33095
Any recommendations for a character-focused show with family drama and career struggles?,33095
"What anime should I watch if I want something serious about rivalry, legacy, and getting older?",33095
Anyone know a good mature anime about stage performance and personal conflicts?,33095
Any recommendations for an emotional anime about a girl learning how to live after war?,33352
What are some good dramas with a main character helping people by writing letters?,33352
"Anyone know an anime about healing, grief, and finding feelings after losing someone close?",33352
"Can you suggest a series with a quiet, heartfelt story and beautiful animation?",33352
Looking for an anime where the main character starts a new job and slowly discovers themselves.,33352
Any good anime with sword fights and a dark backstory?,44
Looking for an OVA about an assassin trying to protect people?,44
What’s a short samurai series with lots of action and some drama?,44
Any recommendations for anime with a tragic past and revenge vibes?,44
Want to watch something about a young swordsman torn between killing and doing the right thing?,44
Any anime movie recommendations with nonstop demon fights and crazy action?,59192
What’s a good movie to watch if I want supernatural battles and a dark vibe?,59192
Any recommendations for an action anime movie with a big final showdown?,59192
What anime movie should I watch if I like sword fights and monster hunting?,59192
"Looking for a finished anime movie with lots of violence and supernatural stuff, any picks?",59192
Any anime like a calm travel story with weird spirit-like creatures and mystery vibes?,21939
What are some good shows about a lone guy helping people deal with strange supernatural stuff?,21939
"Looking for an anime with a slow pace, nature feel, and creepy little mysteries?",21939
"Any recommendations for a slice of life series with folklore, traveling, and odd beings?",21939
"What should I watch if I want something quiet, thoughtful, and supernatural?",21939
Any anime like this about a wild teacher dealing with a messed up class?,245
What should I watch if I want a comedy set in school with a crazy main guy?,245
Any recommendations for anime where a rough former troublemaker becomes a teacher?,245
"Looking for a school anime with lots of pranks, drama, and funny moments, any picks?",245
What anime has a rebellious lead trying to fix students with weird methods?,245
Any anime like this with racing and a strong rival?,61930
Looking for a sports anime with a girl chasing the top spot?,61930
Any show about intense competitions and underdog progress?,61930
What anime has a main character training to win big races?,61930
Got any drama-sports anime with a cool rivalry and tournament vibes?,61930
Any anime with big final battles and lots of powers?,56784
Looking for a shonen where the hero has to stop a world-ending plan?,56784
"Any series with soul reapers, spirits, and heavy fighting?",56784
What should I watch if I want nonstop action and supernatural stuff?,56784
Any recommendations for a sequel season with a huge war and old rivals teaming up?,56784
Any anime about boxing and serious rivalries?,5258
Anyone know a sports anime with underdog fighters and big matches?,5258
Looking for anime where the main focus is hard training and one-on-one fights?,5258
Any good martial arts anime with a gritty vibe and tournament-style action?,5258
"What should I watch if I want a sports anime about punching, rivalries, and chasing the top?",5258
Any anime movie recommendations with magic and a weird moving house or castle?,431
What’s a good fantasy film with an old lady curse and a wizard?,431
Any recs for an anime with a magical adventure and some romance?,431
"Looking for a movie with a cursed girl, weird creatures, and a war in the background?",431
"Any good all-ages anime movies with magic, adventure, and emotional vibes?",431
Any anime about a guy cursed after fighting a monster and going on a trip to find a cure?,164
Looking for a movie with humans vs forest spirits and a big nature vs progress conflict?,164
"Anyone know a fantasy anime with action, beasts, and a hero stuck between two sides?",164
"What should I watch if I want a serious adventure movie with gods, curses, and wild animals?",164
Any recommendations for an anime film about protecting the forest and dealing with a demonic curse?,164
Any recs for a dark fantasy anime with cultivation and a big mystery?,40434
What’s a good show about two guys digging into weird curses and sect drama?,40434
"Looking for an action fantasy series with ghosts, secrets, and a lot of plot twists, any ideas?",40434
"Anyone know an anime like this with demons, investigation, and people doubting the main guy?",40434
"What should I watch if I want a Chinese fantasy story with magic, conspiracies, and fight scenes?",40434
Any anime with weird supernatural problems and lots of talking?,57864
What’s a good series about girls dealing with curses and strange powers?,57864
Looking for a mystery anime with comedy and creepy supernatural stuff?,57864
Any recommendations for an anime where a normal town gets weird paranormal chaos?,57864
What should I watch if I want a character struggling with identity and supernatural trouble?,57864
Any anime like this about a guy who travels around solving weird nature-based mysteries?,457
"Looking for a calm series with supernatural stuff tied to plants, weather, or animals, any recs?",457
Anyone know a show where the main character investigates strange cases involving hidden life forms?,457
"Want something chill and mysterious with episodic stories about odd phenomena, what should I watch?",457
Any recommendations for anime with a quiet wanderer studying strange creatures and the world around them?,457
Any good sports anime with girls racing and aiming for the top?,57647
"Looking for a movie about competitive racing and a rookie trying to beat the best, any recs?",57647
"What anime has intense competitions, rivalry, and a main girl chasing a big title?",57647
Any short anime movie with underdog vibes and fast-paced sports action?,57647
Can someone recommend an anime about horse racing with strong rivals and a comeback story?,57647
Any anime like this with mechs and a big journey to the surface?,2001
Looking for a show with a timid guy and a super loud friend who team up?,2001
Any recommendations for sci-fi anime where humans fight strange enemies in giant robots?,2001
What anime should I watch if I want nonstop action and a lot of hype moments?,2001
Any other adventure anime about exploring a ruined world and uncovering a huge mystery?,2001
Any anime like this with time jumps and a mystery to solve?,49413
"Looking for a suspense anime with a dark case and a lot of twists, any recs?",49413
Any show where the main cast gets caught up in a dangerous investigation and has to clear their name?,49413
"Can someone suggest an anime with crime, drama, and supernatural-ish vibes?",49413
What’s a good thriller anime with a small team trying to stop a killer or mastermind?,49413
Any anime about music and a sad romance that hits hard?,23273
What’s a good drama anime with a shy guy getting back into playing music?,23273
Any recommendations for an anime where a talented teen meets a wild musician and changes?,23273
"I want an emotional anime about high school, music, and heartbreak. Any picks?",23273
"Any good slice of life anime with piano, violin, and a love story?",23273
"Any recs for an anime with gods, ghosts, and a big fantasy vibe?",50399
Looking for a series where the main guy gets dragged into a dangerous spirit world?,50399
Any shows about a cursed or unlucky character getting help from a super powerful being?,50399
"What anime has a mix of action, drama, and a journey through heavenly and ghost realms?",50399
"Can someone suggest a fantasy donghua with mystery, romance hints, and strong worldbuilding?",50399
Any anime like this with nonstop action and humans fighting giant monsters?,35760
"Looking for a dark series where the big threat is not just monsters, but people too?",35760
"Any recommendations for a tense military anime with secrets, politics, and betrayal?",35760
What should I watch if I want a brutal survival anime with lots of drama and fights?,35760
Any good anime similar to this one with a trapped world and a big mystery?,35760
Any good anime about exploring a scary giant hole full of weird creatures and secrets?,34599
Looking for a dark adventure series where kids go down into a dangerous underground place?,34599
Any recommendations for anime with a mysterious journey into the depths and a lost robot kid?,34599
What should I watch if I want a fantasy mystery with creepy ruins and a big descent?,34599
Any anime like a survival trip into an unknown abyss with a lot of danger and discovery?,34599
Any good action fantasy movie with a dark magical war and lots of drama?,33050
Looking for an anime movie where the final battle gets super intense and everyone is in danger?,33050
Any recommendations for a serious magic battle story with betrayal and big stakes?,33050
What anime movie should I watch if I want a grim war between powerful fighters and monsters?,33050
"Any dark fantasy movie with fast fights, tragic vibes, and a last showdown?",33050
Any anime recs about a shy guy who deals with spirits and helps them out?,11665
What are some chill supernatural shows with a calm vibe and emotional moments?,11665
Looking for an anime where the main character can see weird beings and gets dragged into their problems?,11665
"Any good slice of life series with ghosts, spirits, or other paranormal stuff?",11665
"What should I watch if I want a touching anime with friendship, mystery, and supernatural themes?",11665
Any good sports anime with a strong friendship angle?,22135
Looking for an anime about rivals getting serious in a game?,22135
Any short anime with a gritty tournament vibe?,22135
What anime should I watch if I want character growth and competition?,22135
Any recommendation for an anime where the sport matters less than the drama?,22135
Any anime like this with a taxi driver getting caught in a weird mystery?,46102
"Looking for a short suspense anime with lots of different people crossing paths, any picks?",46102
What’s a good drama/mystery anime with a missing person case and shady cops?,46102
Any recommendation for an anime where a normal job turns into a messy crime story?,46102
"I want an original thriller anime with dark humor and a bunch of odd characters, any suggestions?",46102
Any recs for a fantasy movie about spirits and humans clashing?,61952
What anime has a buddy duo trying to stop a bigger plot in two worlds?,61952
"Looking for an all-ages adventure film with magic, drama, and a hidden scheme?",61952
Any good animated movie where the peace between two realms gets broken and the heroes have to fix it?,61952
"What should I watch if I want a fantasy action movie with spirits, teamwork, and a conspiracy?",61952
Any anime or movie about two girls competing over art and becoming friends?,58125
Any recommendations for a short drama movie about manga creators?,58125
