question,answer_llm,answer_orig,document
Where do I find the live stream for Office Hours or workshop sessions if the Zoom link isn’t public?,"The Zoom link isn’t public. For live Office Hours or workshop sessions, students should watch via:

- the **YouTube Live stream** on the **DataTalksClub YouTube Channel**
- the **announcements channel on Telegram and Slack**, where the video URL is posted before the session starts
- the **Slido link** pinned in chat during the live session for questions

So if you don’t have the Zoom link, use the YouTube live stream link announced in Telegram/Slack.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Do students get the Zoom link for the live sessions, or is it shared somewhere else?","Students do **not** get the Zoom link.

The **Zoom link is only published to instructors/presenters/TAs**. Students join via **YouTube Live**, and the live video URL is posted in the **announcements channel on Telegram and Slack** before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How am I supposed to ask questions during Office Hours if I’m watching as a student?,"Students participate via YouTube Live and submit questions to Slido; the Slido link is pinned in the chat when live. Don’t post questions in chat, since they may be missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where is the video link announced before a live workshop starts?,The video link should be posted in the **announcements channel on Telegram and Slack** before the live workshop starts.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the course live sessions on YouTube, and where should I send questions instead of chat?","Yes — you can watch the live sessions on the DataTalksClub YouTube channel.

For questions, don’t use the chat. Submit them via Slido, whose link is pinned in the live chat when the session is on.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where do I begin if I want to follow this course properly, and which pages or repo should I check first?","Start here:

1. **LLM Zoomcamp docs**  
   https://datatalks.club/docs/courses/llm-zoomcamp/

2. **General Zoomcamp logistics docs**  
   https://datatalks.club/docs/courses/zoomcamp-logistics/

3. **LLM Zoomcamp GitHub repo**  
   https://github.com/DataTalksClub/llm-zoomcamp

For the **weekly workflow**, the usual order is:
- watch the lesson videos,
- work through the notebooks/code,
- read the homework instructions on GitHub,
- submit answers on the course platform before the deadline.

If you want the **main entry point for lessons/videos**, use the **GitHub repo first**:
- https://github.com/DataTalksClub/llm-zoomcamp

For **Module 1**, you can begin with:
- cohort materials: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- homework instructions: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start the LLM Zoomcamp at a specific time, or can I jump in whenever I’m ready?","You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual week-by-week routine for this course, from watching videos to turning in homework?","The usual weekly workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers on the course platform before the deadline  

Homework usually follows the lesson flow, but it may use a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How do I find the homework instructions and deadlines for each lesson, and where do I submit the answers?","Find the homework instructions in two places:

1. **GitHub repo**  
   The homework links and instructions are in the course GitHub repository. For Module 1, use:
   - [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)
   - [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

2. **Course management platform**  
   This is where you can see the **deadlines** and **submit your answers**:
   - [LLM Zoomcamp course platform](https://courses.datatalks.club/llm-zoomcamp-2026/)

Typical workflow:
1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers on the course platform before the deadline.

So, in short: **read instructions on GitHub, check deadlines and submit on the course platform.**","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the class notebooks, or does it use new data or a different task?","Homework is similar to the lesson notebooks, but it usually uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I can’t find my name on the leaderboard — how do I locate my own entry?,"Click the **“Jump to your record on the leaderboard”** link — your account was assigned a random display name when you signed up, so that link will take you straight to your entry.

If you want to see or change the name shown on the leaderboard, use **“Edit Course Profile”**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why do I show up under some random name instead of my real one on the leaderboard?,"When you set up your account, you’re automatically assigned a random public display name, like “Lucid Elbakyan,” for the leaderboard.

If you want to change it, go to **Edit Course Profile**:
- **First field:** public nickname/display name shown on the leaderboard
- **Second field:** your official name for your certificate

If you just want to find your own entry, use the **“Jump to your record on the leaderboard”** link.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How can I check what display name the course is using for me?,"Click **“Edit Course Profile”**.  
Your **first field** is the public **display name/nickname** the course uses for the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"If I want to change the name shown in the leaderboard, where do I edit it?",Edit it in **“Edit Course Profile”** — that’s where your public leaderboard display name is set.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What do I need to update so my certificate doesn’t use the default name?,"Update your **“Edit Course Profile”** and change the **second field** to your **official name** exactly as it should appear on the certificate. If you leave it as the default, the certificate will show the default name like **“Lucid Elbakyan.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I do this course on my own schedule and still get the certificate, or is it only for the live cohort?","Yes — you can follow the course in self-paced mode, but you **won’t get a certificate** that way. Certificates are only awarded if you finish the course with a **live cohort**, because the certificate requires peer-reviewing 3 capstone projects during the live run.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I take the self-paced version, do I still qualify for a certificate at the end?",No. You can only get a certificate if you finish the course with a live cohort. The self-paced version does not qualify for a certificate.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn’t there a certificate for people who finish the course in self-paced mode?,"You don’t get a certificate in self-paced mode because the course requires you to peer-review 3 capstone projects after submitting your own project. That peer-review step is only available while a live cohort is running, before the form closes and the review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to peer-review other students’ capstone projects to get the certificate?,"Yes. To get the certificate, you need to **peer-review 3 other students’ capstone projects** after submitting your own project. This is only possible during the live course run, when the peer-review list is released.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is it possible to do the required project reviews after the course has already ended?,I don't know.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, as long as I complete the Capstone project?",Yes. Homework is not mandatory for the certificate. You still qualify as long as you pass the Capstone project.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework actually required to get the course certificate, or is the Capstone enough?","No — homework is not required for the certificate. You only need to pass the Capstone project. Homework is optional, though recommended, and its points only affect your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I need to pass in order to receive the certificate for this course?,"You need to **pass the Capstone project** to receive the certificate. Homework is **not mandatory**, though it is recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn't mandatory, why should I bother doing it at all?","Homework isn’t mandatory, so you don’t need to do it for the certificate.

But it can still be worth doing because:

- it helps you practice the material,
- it affects your leaderboard rank,
- and it lets you check whether you really understood the lesson.

If you want, I can also explain how homework affects the certificate vs. leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Does missing homework affect my certificate, or does it only impact my leaderboard score?",Missing homework won’t affect your certificate. Homework is not mandatory; only passing the Capstone project is required for the certificate. Homework points only affect your leaderboard rank.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework keep changing while I’m working on it?,"If the homework title contains `[DRAFT]`, it means it isn’t ready yet. Until the homework form is open and the title no longer contains `[DRAFT]`, the content can still change. Working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework assignment is actually ready and not still in draft?,"A homework assignment is ready only when **both** are true:

- the homework form is **open** on the course management platform, and
- the homework title **does not contain** `[DRAFT]`.

If the title still has `[DRAFT]`, it’s not ready yet and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Does seeing [DRAFT] in the homework title mean I should wait before starting?,"Yes. If the homework title contains `[DRAFT]`, it means the homework is not ready yet, so you should wait before starting. Working on it early is at your own risk because it can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is the homework safe to do in advance, or can it still be updated later?","Yes — it can still be updated later.

If the homework title contains `[DRAFT]`, the homework is not ready yet, and the content may change. Working on it in advance is at your own risk because the final version can be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What exactly has to be true before the homework content is considered final?,"The homework content is considered final only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next llm-zoomcamp course session planned for?,I don't know.,Summer 2027.,bd31146b0e
Do you know when this course will run again?,The course will be offered next in **Summer 2027**.,Summer 2027.,bd31146b0e
What’s the next time this course is expected to be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a date for the upcoming course offering?,I don't know.,Summer 2027.,bd31146b0e
When should I expect the next round of this course to start?,The next round of the course is expected to start in **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course lectures and videos for LLM Zoomcamp?,"You can find the LLM Zoomcamp lectures and videos in the **LLM Zoomcamp GitHub repository**:

- **GitHub repo:** https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — each lesson page has the relevant videos linked at the top. If needed, use the repo as the main entry point, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do I need to use YouTube, or is there a better place to start for the videos?","Use the **LLM Zoomcamp GitHub repository** as the main starting point, not YouTube. Each lesson folder has the relevant videos linked at the top, and the repo is easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I get to the lesson videos from the LLM Zoomcamp repo?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Then open the **lesson folders** in the repo. Each lesson page has the relevant **videos linked at the top**.

If you’re unsure, start from the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Are the lesson videos linked inside each lesson folder or somewhere else?,The lesson videos are linked at the top of each lesson page inside the LLM Zoomcamp GitHub repository.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What should I check first if I want the most up-to-date lectures for this course?,I don't know.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and see what’s coming next in the course?,"Use the **LLM Zoomcamp course management platform** to check the syllabus, deadlines, homework, and overall progress:  
https://courses.datatalks.club/llm-zoomcamp-2026/

For the course materials and workflow, you can also start with:
- https://datatalks.club/docs/courses/llm-zoomcamp/
- https://github.com/DataTalksClub/llm-zoomcamp

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a place for tracking homework deadlines and my progress in LLM Zoomcamp?,"Yes — use the **LLM Zoomcamp course management platform** to track **homework deadlines, submissions, and your progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use to follow the current cohort structure for LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do people usually keep up with assignments and deadlines in this Zoomcamp?,"People usually keep up by using the **course management platform** to track the **syllabus, deadlines, homework, and progress**. You can also follow the weekly workflow:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit answers through the course platform before the deadline","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is the LLM Zoomcamp management page the same kind of setup as the other DataTalks.Club Zoomcamps?,"Yes — the LLM Zoomcamp course management platform uses the same general process as the other DataTalks.Club Zoomcamps. It tracks the cohort structure, homework, deadlines, and progress in a similar way.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does llm-zoomcamp have live sessions for every module, or is everything just pre-recorded?","No — llm-zoomcamp does **not** have live sessions for every module by default. The module materials are **pre-recorded** and available in the course repo.

Live sessions are announced separately when they happen. If you want extra live support, there’s also an optional paid community called **AI Shipping Labs** that includes regular Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
When are the course live sessions or office hours announced for this course?,"Live sessions are announced separately when they happen, typically in the announcements channel on Telegram and Slack before they begin.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help in llm-zoomcamp?","If you get stuck, ask for help in **Slack**. Include the **code or command output as text**, not a screenshot.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
